GEO/WASTE	Total Waste	Chemical and medical wastes (subtotal)	Recyclable wastes (subtotal, W06+W07 except W077)	Equipment (subtotal, W077+W08A+W081+W0841)	Animal and vegetal wastes (subtotal, W091+W092+W093)	Mixed ordinary wastes (subtotal, W101+W102+W103)	Common sludges	Mineral and solidified wastes (subtotal)
European Union (28 countries)	2494700000	54960000	234540000	16160000	88670000	286170000	18490000	1795720000
Belgium	56434826	2397368	13655143	603575	5635143	6878445	579150	26686002
Bulgaria	179677011	518228	2370564	132660	983646	3223979	78817	172369117
Czech Republic	23394956	797432	4500553	79581	583264	3706252	348833	13379041
Denmark	20081310	317413	3361288	168614	1087281	3555861	187953	11402900
Germany (until 1990 former territory of the FRG)	387504241	8821344	38860736	2465085	15011037	45318230	1614740	275413069
Estonia	21804040	1750157	1263107	34312	149633	484602	27245	18094986
Ireland	15166830	776112	1434386	212874	554285	3674107	616688	7898378
Greece	69758868	251623	1125064	188460	575225	7495065	138035	59985396
Spain	110518494	2990346	12345888	1202597	8058640	32327292	1438320	52155411
France	324462969	4867183	34499195	2218682	11304163	33878044	1394495	236301207
Croatia	3724563	56814	904420	58078	395664	1491070	16830	801687
Italy	159107169	16071024	26503670	2800026	6921585	39416867	5455319	61938678
Cyprus	2050850	21404	281339	18137	112018	233278	6906	1377767
Latvia	2621495	65624	331184	25071	105480	1400008	22705	671423
Lithuania	6200450	70124	1066287	82691	551038	1369783	48937	3011590
Luxembourg	7072758	47825	383363	7398	95427	255433	10639	6272673
Hungary	16650639	489182	3230318	50066	699238	4412073	164486	7605276
Malta	1664836	23126	82875	7772	16605	266406	9626	1258426
Netherlands	133249753	2391871	8513570	534410	14718640	10246921	637871	96206470
Austria	55868298	696748	5825952	166174	1887723	4435601	432207	42423893
Poland	179179899	2486819	13933574	224452	3112616	23611842	626376	135184220
Portugal	14586917	817492	4683744	170078	183064	5302060	687260	2743219
Romania	176334308	915886	4531549	132270	1063964	6482895	212511	162995233
Slovenia	4686417	227873	1222752	26359	289773	667449	180419	2071792
Slovakia	8862778	554383	1490982	30911	920338	1582460	293818	3989886
Finland	95969888	1006713	5716157	212954	1079091	2894362	397613	84662998
Sweden	167026886	1315108	5440160	721671	2205186	4908952	423457	152012352
United Kingdom	251037228	4218205	36979644	3584126	10365788	36645728	2440037	156803699
Iceland	799200	89719	110654	10956	41388	136987	3720	405776
Liechtenstein	569067	1372	15835	531	9934	12400	2716	526279
Norway	11726860	927793	3335572	399805	866632	3014450	152159	3030449
Montenegro	1164024	30552	54358	1080	45492	260507	10208	761827
Former Yugoslav Republic of Macedonia, the	2186612	951293	1005624	1220	91933	14961	30	121551
Albania	:	:	:	:	:	1228884	:	:
Serbia	49128310	32888	378425	14388	199453	1652009	143299	46707848
Turkey	73075119	:	:	:	:	:	36794	:
Bosnia and Herzegovina	:	:	:	:	:	:	:	:
Kosovo (under United Nations Security Council Resolution 1244/99)	1039803	834	61383	23	3880	756442	0	217241
